case_id,group,expected,text
TERROR-RC2-DEV-001,claimed_designation_prefix,Terrorism & Extremism,A designated terrorist organization is encouraging readers to enlist.
TERROR-RC2-DEV-002,claimed_designation_prefix,Terrorism & Extremism,A banned extremist group is collecting money for operational support.
TERROR-RC2-DEV-003,claimed_designation_prefix,Terrorism & Extremism,A proscribed terrorist network is circulating recruitment posts.
TERROR-RC2-DEV-004,claimed_designation_prefix,Terrorism & Extremism,A listed extremist movement is inviting new members to sign up.
TERROR-RC2-DEV-005,claimed_designation_prefix,Terrorism & Extremism,A sanctioned terrorist faction is providing transport and supplies.
TERROR-RC2-DEV-006,claimed_designation_prefix,Terrorism & Extremism,A designated terrorist organization is encouraging readers to enlist.
TERROR-RC2-DEV-007,claimed_designation_prefix,Terrorism & Extremism,A banned extremist group is collecting money for operational support.
TERROR-RC2-DEV-008,claimed_designation_prefix,Terrorism & Extremism,A proscribed terrorist network is circulating recruitment posts.
TERROR-RC2-DEV-009,claimed_designation_prefix,Terrorism & Extremism,A listed extremist movement is inviting new members to sign up.
TERROR-RC2-DEV-010,claimed_designation_prefix,Terrorism & Extremism,A sanctioned terrorist faction is providing transport and supplies.
TERROR-RC2-DEV-011,claimed_designation_prefix,Terrorism & Extremism,A designated terrorist organization is encouraging readers to enlist.
TERROR-RC2-DEV-012,claimed_designation_prefix,Terrorism & Extremism,A banned extremist group is collecting money for operational support.
TERROR-RC2-DEV-013,claimed_designation_prefix,Terrorism & Extremism,A proscribed terrorist network is circulating recruitment posts.
TERROR-RC2-DEV-014,claimed_designation_prefix,Terrorism & Extremism,A listed extremist movement is inviting new members to sign up.
TERROR-RC2-DEV-015,claimed_designation_prefix,Terrorism & Extremism,A sanctioned terrorist faction is providing transport and supplies.
TERROR-RC2-DEV-016,claimed_designation_prefix,Terrorism & Extremism,A designated terrorist organization is encouraging readers to enlist.
TERROR-RC2-DEV-017,claimed_designation_prefix,Terrorism & Extremism,A banned extremist group is collecting money for operational support.
TERROR-RC2-DEV-018,claimed_designation_prefix,Terrorism & Extremism,A proscribed terrorist network is circulating recruitment posts.
TERROR-RC2-DEV-019,claimed_designation_prefix,Terrorism & Extremism,A listed extremist movement is inviting new members to sign up.
TERROR-RC2-DEV-020,claimed_designation_prefix,Terrorism & Extremism,A sanctioned terrorist faction is providing transport and supplies.
TERROR-RC2-DEV-021,claimed_designation_suffix,Terrorism & Extremism,The group has been listed as an extremist organization and invites people to join.
TERROR-RC2-DEV-022,claimed_designation_suffix,Terrorism & Extremism,The network was officially proscribed as a terrorist organization and solicits contributions.
TERROR-RC2-DEV-023,claimed_designation_suffix,Terrorism & Extremism,The movement is designated as extremist and circulates recruitment clips.
TERROR-RC2-DEV-024,claimed_designation_suffix,Terrorism & Extremism,The organization remains banned as a terrorist group and urges readers to enlist.
TERROR-RC2-DEV-025,claimed_designation_suffix,Terrorism & Extremism,The faction was sanctioned as extremist and provides logistical support.
TERROR-RC2-DEV-026,claimed_designation_suffix,Terrorism & Extremism,The group has been listed as an extremist organization and invites people to join.
TERROR-RC2-DEV-027,claimed_designation_suffix,Terrorism & Extremism,The network was officially proscribed as a terrorist organization and solicits contributions.
TERROR-RC2-DEV-028,claimed_designation_suffix,Terrorism & Extremism,The movement is designated as extremist and circulates recruitment clips.
TERROR-RC2-DEV-029,claimed_designation_suffix,Terrorism & Extremism,The organization remains banned as a terrorist group and urges readers to enlist.
TERROR-RC2-DEV-030,claimed_designation_suffix,Terrorism & Extremism,The faction was sanctioned as extremist and provides logistical support.
TERROR-RC2-DEV-031,claimed_designation_suffix,Terrorism & Extremism,The group has been listed as an extremist organization and invites people to join.
TERROR-RC2-DEV-032,claimed_designation_suffix,Terrorism & Extremism,The network was officially proscribed as a terrorist organization and solicits contributions.
TERROR-RC2-DEV-033,claimed_designation_suffix,Terrorism & Extremism,The movement is designated as extremist and circulates recruitment clips.
TERROR-RC2-DEV-034,claimed_designation_suffix,Terrorism & Extremism,The organization remains banned as a terrorist group and urges readers to enlist.
TERROR-RC2-DEV-035,claimed_designation_suffix,Terrorism & Extremism,The faction was sanctioned as extremist and provides logistical support.
TERROR-RC2-DEV-036,claimed_designation_suffix,Terrorism & Extremism,The group has been listed as an extremist organization and invites people to join.
TERROR-RC2-DEV-037,claimed_designation_suffix,Terrorism & Extremism,The network was officially proscribed as a terrorist organization and solicits contributions.
TERROR-RC2-DEV-038,claimed_designation_suffix,Terrorism & Extremism,The movement is designated as extremist and circulates recruitment clips.
TERROR-RC2-DEV-039,claimed_designation_suffix,Terrorism & Extremism,The organization remains banned as a terrorist group and urges readers to enlist.
TERROR-RC2-DEV-040,claimed_designation_suffix,Terrorism & Extremism,The faction was sanctioned as extremist and provides logistical support.
TERROR-RC2-DEV-041,unverified_identity_or_status,Uncertain,"The organization invites enlistment, but its legal status remains unverified."
TERROR-RC2-DEV-042,unverified_identity_or_status,Uncertain,Membership applications are open although the group's designation is not confirmed.
TERROR-RC2-DEV-043,unverified_identity_or_status,Uncertain,An alleged terrorist group solicits contributions from readers.
TERROR-RC2-DEV-044,unverified_identity_or_status,Uncertain,"The network urges people to join, but its identity has not been authenticated."
TERROR-RC2-DEV-045,unverified_identity_or_status,Uncertain,A possible extremist movement circulates recruitment posts.
TERROR-RC2-DEV-046,unverified_identity_or_status,Uncertain,"The organization invites enlistment, but its legal status remains unverified."
