record_id,split,family_id,label,text,text_sha256,source
TRAIN-0001,train,stunt_height,dangerous_advocacy,This message encourages an untrained person to attempt a hazardous stunt at height.,3acafe8715085c3be7160f85f756c4a3aa651439eba82571946b924a7a466318,synthetic_policy_concept
TRAIN-0002,train,stunt_height,dangerous_advocacy,The post clearly encourages an untrained person to attempt a hazardous stunt at height.,570931f658f92cf486088299f083ccfb9929465832db814c1532663f50a1b625,synthetic_policy_concept
TRAIN-0003,train,stunt_height,dangerous_advocacy,A video caption encourages an untrained person to attempt a hazardous stunt at height.,b502e3cdfde0fcde0f68faf38e7bbfa6649fa80e8f26e0d019f2cb7601842908,synthetic_policy_concept
TRAIN-0004,train,stunt_height,dangerous_advocacy,The speaker encourages an untrained person to attempt a hazardous stunt at height.,72eaf03a23d4e5fb01119350f34447affaef5909199839a4f6a8dc08fe023fb6,synthetic_policy_concept
TRAIN-0005,train,stunt_height,dangerous_advocacy,The content repeatedly encourages an untrained person to attempt a hazardous stunt at height.,c2afd72997ac003617a2725fd0ce2bd9837c94368f069decf0d184c8b0180ce4,synthetic_policy_concept
TRAIN-0006,train,stunt_height,dangerous_advocacy,The upload openly encourages an untrained person to attempt a hazardous stunt at height.,be521abd5b28e31edc663fa52ccb3255ab40cb3362249aa236c4d64d258a6abb,synthetic_policy_concept
TRAIN-0007,train,stunt_height,dangerous_advocacy,Its central message encourages an untrained person to attempt a hazardous stunt at height.,0102bd6202fbeec3eb9d94776666e17af23d774e84223efc1ce09ca71b7c6a8d,synthetic_policy_concept
TRAIN-0008,train,stunt_height,dangerous_advocacy,The creator's instruction encourages an untrained person to attempt a hazardous stunt at height.,831d269d19ddc89dca9c3f74154eb7bf242d10bec40eca841dfaf307bfa5b59b,synthetic_policy_concept
TRAIN-0009,train,stunt_vehicle,dangerous_advocacy,This message dares viewers to perform a dangerous moving-vehicle stunt.,002f9a8fc01f7536fc49e2f949025154f7688d16129a251f0df56d8ae5e389bd,synthetic_policy_concept
TRAIN-0010,train,stunt_vehicle,dangerous_advocacy,The post clearly dares viewers to perform a dangerous moving-vehicle stunt.,76b56bfdc314e7d293bac45d55acd61c38323526f6b4a802f48273071ca47a10,synthetic_policy_concept
TRAIN-0011,train,stunt_vehicle,dangerous_advocacy,A video caption dares viewers to perform a dangerous moving-vehicle stunt.,144a8936dc664317f9b0ca7b245a91b197b702043e5588f413908ab14681a26b,synthetic_policy_concept
