record_id,group,text,expected_category,existing_category,existing_action,existing_review
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-001,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 1 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-002,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 2 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-003,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 3 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-004,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 4 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-005,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 5 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-006,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 6 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-007,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 7 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-008,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 8 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-009,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 9 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-010,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 10 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-011,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 11 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-012,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 12 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-013,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 13 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-014,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 14 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-015,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 15 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-016,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 16 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-017,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 17 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-018,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 18 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-019,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 19 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-020,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 20 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-021,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 21 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-022,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 22 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-023,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 23 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-024,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 24 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-025,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 25 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-026,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 26 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-027,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 27 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-028,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 28 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-029,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 29 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-030,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 30 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-031,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 31 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-032,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 32 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-033,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 33 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-034,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 34 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-035,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 35 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-036,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 36 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-037,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 37 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-038,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 38 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-039,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 39 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-040,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 40 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-041,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 41 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-042,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 42 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-043,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 43 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-044,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 44 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-045,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 45 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-046,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 46 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-047,active_profile_and_account_impersonation,Evidence indicates this profile is a fake profile pretending to be another person and publishes posts as the victim; case 47 involving an employee.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-048,active_profile_and_account_impersonation,This account uses a cloned social media account and solicits customers while pretending to be another person; case 48 involving an account holder.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-049,active_profile_and_account_impersonation,This profile cloned the victim's profile and currently contacts the victim's friends; case 49 involving a customer.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
ACTIVE_PROFILE_AND_ACCOUNT_IMPERSONATION-050,active_profile_and_account_impersonation,A verified victim report says this account is impersonating another person and sends messages to contacts; case 50 involving a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-001,government_and_business_impersonation,This caller is falsely posing as a government officer and currently collects payments from a government office; case 1.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-002,government_and_business_impersonation,Evidence indicates this message is falsely posing as a business representative and requests account access from a bank; case 2.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-003,government_and_business_impersonation,This account deceptively claims to represent a retailer and solicits customers; case 3.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-004,government_and_business_impersonation,A verified victim report says this profile pretends to be official support and collects payments for a delivery company; case 4.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-005,government_and_business_impersonation,This caller is falsely posing as a government officer and currently collects payments from a government office; case 5.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-006,government_and_business_impersonation,Evidence indicates this message is falsely posing as a business representative and requests account access from a bank; case 6.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-007,government_and_business_impersonation,This account deceptively claims to represent a retailer and solicits customers; case 7.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-008,government_and_business_impersonation,A verified victim report says this profile pretends to be official support and collects payments for a delivery company; case 8.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-009,government_and_business_impersonation,This caller is falsely posing as a government officer and currently collects payments from a government office; case 9.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-010,government_and_business_impersonation,Evidence indicates this message is falsely posing as a business representative and requests account access from a bank; case 10.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-011,government_and_business_impersonation,This account deceptively claims to represent a retailer and solicits customers; case 11.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-012,government_and_business_impersonation,A verified victim report says this profile pretends to be official support and collects payments for a delivery company; case 12.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-013,government_and_business_impersonation,This caller is falsely posing as a government officer and currently collects payments from a government office; case 13.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-014,government_and_business_impersonation,Evidence indicates this message is falsely posing as a business representative and requests account access from a bank; case 14.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-015,government_and_business_impersonation,This account deceptively claims to represent a retailer and solicits customers; case 15.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-016,government_and_business_impersonation,A verified victim report says this profile pretends to be official support and collects payments for a delivery company; case 16.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-017,government_and_business_impersonation,This caller is falsely posing as a government officer and currently collects payments from a government office; case 17.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-018,government_and_business_impersonation,Evidence indicates this message is falsely posing as a business representative and requests account access from a bank; case 18.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-019,government_and_business_impersonation,This account deceptively claims to represent a retailer and solicits customers; case 19.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-020,government_and_business_impersonation,A verified victim report says this profile pretends to be official support and collects payments for a delivery company; case 20.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-021,government_and_business_impersonation,This caller is falsely posing as a government officer and currently collects payments from a government office; case 21.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-022,government_and_business_impersonation,Evidence indicates this message is falsely posing as a business representative and requests account access from a bank; case 22.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-023,government_and_business_impersonation,This account deceptively claims to represent a retailer and solicits customers; case 23.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-024,government_and_business_impersonation,A verified victim report says this profile pretends to be official support and collects payments for a delivery company; case 24.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
GOVERNMENT_AND_BUSINESS_IMPERSONATION-025,government_and_business_impersonation,This caller is falsely posing as a government officer and currently collects payments from a government office; case 25.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
