group,text,expected,owner,action,review
aggregate_incomplete_evidence_boundary,"A possible cloned profile is reported, but identity evidence is incomplete; RC3 development 1 for an account.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,A fake account may be posing as a business while account provenance is unknown; RC3 development 2 for a listing.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A profile may be impersonating a resident, but authorization cannot be verified; RC3 development 3 for a profile.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,Only a screenshot is available for a possible account takeover and identity cannot be verified; RC3 development 4 for a message.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A possible cloned profile is reported, but identity evidence is incomplete; RC3 development 5 for an account.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,A fake account may be posing as a business while account provenance is unknown; RC3 development 6 for a listing.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A profile may be impersonating a resident, but authorization cannot be verified; RC3 development 7 for a profile.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,Only a screenshot is available for a possible account takeover and identity cannot be verified; RC3 development 8 for a message.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A possible cloned profile is reported, but identity evidence is incomplete; RC3 development 9 for an account.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,A fake account may be posing as a business while account provenance is unknown; RC3 development 10 for a listing.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A profile may be impersonating a resident, but authorization cannot be verified; RC3 development 11 for a profile.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,Only a screenshot is available for a possible account takeover and identity cannot be verified; RC3 development 12 for a message.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A possible cloned profile is reported, but identity evidence is incomplete; RC3 development 13 for an account.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,A fake account may be posing as a business while account provenance is unknown; RC3 development 14 for a listing.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A profile may be impersonating a resident, but authorization cannot be verified; RC3 development 15 for a profile.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,Only a screenshot is available for a possible account takeover and identity cannot be verified; RC3 development 16 for a message.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A possible cloned profile is reported, but identity evidence is incomplete; RC3 development 17 for an account.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,A fake account may be posing as a business while account provenance is unknown; RC3 development 18 for a listing.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A profile may be impersonating a resident, but authorization cannot be verified; RC3 development 19 for a profile.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,Only a screenshot is available for a possible account takeover and identity cannot be verified; RC3 development 20 for a message.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A possible cloned profile is reported, but identity evidence is incomplete; RC3 development 21 for an account.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,A fake account may be posing as a business while account provenance is unknown; RC3 development 22 for a listing.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A profile may be impersonating a resident, but authorization cannot be verified; RC3 development 23 for a profile.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,Only a screenshot is available for a possible account takeover and identity cannot be verified; RC3 development 24 for a message.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A possible cloned profile is reported, but identity evidence is incomplete; RC3 development 25 for an account.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,A fake account may be posing as a business while account provenance is unknown; RC3 development 26 for a listing.,Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,"A profile may be impersonating a resident, but authorization cannot be verified; RC3 development 27 for a profile.",Uncertain,Normal/Ignore,Allow,False
aggregate_incomplete_evidence_boundary,Only a screenshot is available for a possible account takeover and identity cannot be verified; RC3 development 28 for a message.,Uncertain,Normal/Ignore,Allow,False
