case_id,group,expected,text
TERROR-RC4-DEV-001,designation_and_noun_form_behavior,Terrorism & Extremism,A network formally listed as terrorist requests monetary contributions.
TERROR-RC4-DEV-002,designation_and_noun_form_behavior,Terrorism & Extremism,A banned extremist organization opens registration for new members.
TERROR-RC4-DEV-003,designation_and_noun_form_behavior,Terrorism & Extremism,A faction proscribed for terrorism forwards recruitment content.
TERROR-RC4-DEV-004,designation_and_noun_form_behavior,Terrorism & Extremism,A sanctioned extremist movement provides logistical assistance.
TERROR-RC4-DEV-005,designation_and_noun_form_behavior,Terrorism & Extremism,A designated terrorist group circulates recruitment messages.
TERROR-RC4-DEV-006,designation_and_noun_form_behavior,Terrorism & Extremism,A network formally listed as terrorist requests monetary contributions.
TERROR-RC4-DEV-007,designation_and_noun_form_behavior,Terrorism & Extremism,A banned extremist organization opens registration for new members.
TERROR-RC4-DEV-008,designation_and_noun_form_behavior,Terrorism & Extremism,A faction proscribed for terrorism forwards recruitment content.
TERROR-RC4-DEV-009,designation_and_noun_form_behavior,Terrorism & Extremism,A sanctioned extremist movement provides logistical assistance.
TERROR-RC4-DEV-010,designation_and_noun_form_behavior,Terrorism & Extremism,A designated terrorist group circulates recruitment messages.
TERROR-RC4-DEV-011,designation_and_noun_form_behavior,Terrorism & Extremism,A network formally listed as terrorist requests monetary contributions.
TERROR-RC4-DEV-012,designation_and_noun_form_behavior,Terrorism & Extremism,A banned extremist organization opens registration for new members.
TERROR-RC4-DEV-013,designation_and_noun_form_behavior,Terrorism & Extremism,A faction proscribed for terrorism forwards recruitment content.
TERROR-RC4-DEV-014,designation_and_noun_form_behavior,Terrorism & Extremism,A sanctioned extremist movement provides logistical assistance.
TERROR-RC4-DEV-015,designation_and_noun_form_behavior,Terrorism & Extremism,A designated terrorist group circulates recruitment messages.
TERROR-RC4-DEV-016,designation_and_noun_form_behavior,Terrorism & Extremism,A network formally listed as terrorist requests monetary contributions.
TERROR-RC4-DEV-017,designation_and_noun_form_behavior,Terrorism & Extremism,A banned extremist organization opens registration for new members.
TERROR-RC4-DEV-018,designation_and_noun_form_behavior,Terrorism & Extremism,A faction proscribed for terrorism forwards recruitment content.
TERROR-RC4-DEV-019,designation_and_noun_form_behavior,Terrorism & Extremism,A sanctioned extremist movement provides logistical assistance.
TERROR-RC4-DEV-020,designation_and_noun_form_behavior,Terrorism & Extremism,A designated terrorist group circulates recruitment messages.
TERROR-RC4-DEV-021,designation_and_noun_form_behavior,Terrorism & Extremism,A network formally listed as terrorist requests monetary contributions.
TERROR-RC4-DEV-022,designation_and_noun_form_behavior,Terrorism & Extremism,A banned extremist organization opens registration for new members.
TERROR-RC4-DEV-023,designation_and_noun_form_behavior,Terrorism & Extremism,A faction proscribed for terrorism forwards recruitment content.
TERROR-RC4-DEV-024,designation_and_noun_form_behavior,Terrorism & Extremism,A sanctioned extremist movement provides logistical assistance.
TERROR-RC4-DEV-025,designation_and_noun_form_behavior,Terrorism & Extremism,A designated terrorist group circulates recruitment messages.
TERROR-RC4-DEV-026,designation_and_noun_form_behavior,Terrorism & Extremism,A network formally listed as terrorist requests monetary contributions.
TERROR-RC4-DEV-027,designation_and_noun_form_behavior,Terrorism & Extremism,A banned extremist organization opens registration for new members.
TERROR-RC4-DEV-028,designation_and_noun_form_behavior,Terrorism & Extremism,A faction proscribed for terrorism forwards recruitment content.
TERROR-RC4-DEV-029,designation_and_noun_form_behavior,Terrorism & Extremism,A sanctioned extremist movement provides logistical assistance.
TERROR-RC4-DEV-030,designation_and_noun_form_behavior,Terrorism & Extremism,A designated terrorist group circulates recruitment messages.
TERROR-RC4-DEV-031,institutional_safe_reporting,Normal/Ignore,A university report condemns fundraising by a designated terrorist organization.
TERROR-RC4-DEV-032,institutional_safe_reporting,Normal/Ignore,A policy paper critically examines recruitment by a banned extremist group.
TERROR-RC4-DEV-033,institutional_safe_reporting,Normal/Ignore,A civil society analysis opposes propaganda from a proscribed terrorist network.
TERROR-RC4-DEV-034,institutional_safe_reporting,Normal/Ignore,A college study warns people not to join a listed extremist movement.
TERROR-RC4-DEV-035,institutional_safe_reporting,Normal/Ignore,A human rights report denounces logistical support for terrorist cells.
TERROR-RC4-DEV-036,institutional_safe_reporting,Normal/Ignore,A university report condemns fundraising by a designated terrorist organization.
TERROR-RC4-DEV-037,institutional_safe_reporting,Normal/Ignore,A policy paper critically examines recruitment by a banned extremist group.
TERROR-RC4-DEV-038,institutional_safe_reporting,Normal/Ignore,A civil society analysis opposes propaganda from a proscribed terrorist network.
TERROR-RC4-DEV-039,institutional_safe_reporting,Normal/Ignore,A college study warns people not to join a listed extremist movement.
TERROR-RC4-DEV-040,institutional_safe_reporting,Normal/Ignore,A human rights report denounces logistical support for terrorist cells.
TERROR-RC4-DEV-041,institutional_safe_reporting,Normal/Ignore,A university report condemns fundraising by a designated terrorist organization.
TERROR-RC4-DEV-042,institutional_safe_reporting,Normal/Ignore,A policy paper critically examines recruitment by a banned extremist group.
